job_title,job_role,company,job_location,job_summary,post_date,today,job_salary,job_url
"SQL Data Engineer (Python,Redshift)",Data Engineer,Veegasree,"Chennai, Tamil Nadu","2-5 years of experience as SQL Developer/Programmer.Expertise in ETL Process.Good Knowledge on SSIS Packages.Good Knowledge on Python.Proven experience as a Data Engineer.Create database objects such as tables, views, stored procedures, Triggers, Functions etc..Good in performance tuning especially tuning complex queries, procedure and indexing strategies..Write code for new development requirements as well as provide bug fixing, support and maintenance of existing code..Excellent communication, presentation skills and people Interactions within own team or department at operational level",Posted 12 days ago,2023-03-08,"Up to ₹70,000 a month",https://in.indeed.com/company/veegasree/jobs/SQL-Data-Engineer-bf042670cf7677fe?fccid=52d45b182f76295e&vjs=3
Data Engineer,Data Engineer,Arting Digital,Remote,Day shift,Posted 17 days ago,2023-03-08,"₹3,00,000 - ₹15,00,000 a year",https://in.indeed.com/company/Arting-Digital/jobs/Data-Engineer-a483a93f21c42990?fccid=4e7f568d250cd695&vjs=3
Senior Data Engineer,Data Engineer,Luxoft,Remote,"As part of our team, your main responsibilities will focus on area of:.       ..Development of data engineering solutions for new and ongoing projects in DW and Big Data area.Large-scale deployments, automation and configuration management..Technology explorations, research & development, deep investigations & troubleshooting",Posted 23 days ago,2023-03-08,?,https://in.indeed.com/rc/clk?jk=014cfc1e899fae20&fccid=4b841d912d46e4fd&vjs=3
Data Engineer - 1,Data Engineer,Bizongo,"Bengaluru, Karnataka",Flexible schedule.Health insurance.Life insurance.Paid sick time.Provident Fund.Work from home,Posted 30+ days ago,2023-03-08,"Up to ₹13,00,000 a year",https://in.indeed.com/company/Bizongo/jobs/Data-Engineer-536dbeadcbbfb0d0?fccid=4232979cb0926d4d&vjs=3
Data Engineer,Data Engineer,Ericsson,"Noida, Uttar Pradesh","Business solution owner, process owners and solution users. Information stewards, domain experts, subject matter experts. Business Analysts, Data Scientists, Data Architects, Automation Architects, Automation Engineers. Project Steering Group, Operative Steering Group (OSG), Project Management Office (PMO). Enterprise/Regional IT representatives. Partners and vendors!",Posted 1 day ago,2023-03-08,?,https://in.indeed.com/rc/clk?jk=a2c7d3808595c050&fccid=82656d64a9a3e6a7&vjs=3
Data Engineer,Data Engineer,LanceTech Solutions Pvt Ltd,"Pune, Maharashtra","3-4 years’ experience with a Bachelor's Degree in Computer Science, Engineering, Technology or related field required..Work hours- 6.30PM to 3.30AM IST..Data Engineering, Python/R, SQL, Pandas, NumPy, Big Data, AWS Cloud.Proven experience as a Data Engineer, devOps engineer or similar role..Understanding of data structures, data modeling and software architecture..Hands-on-experience with SQL/NO-SQL (MySQL/ Postgres/Cassandra /MongoDB)..Good knowledge and coding experience in one or more programming languages such as Python, Java, JavaScript..Knowledge of web scraping and tools..Experience with AWS cloud services (EC2)..Experience in Deploying Machine Learning/Deep Learning models on cloud..Experience with big data tools: Hadoop, Spark.",Posted 30+ days ago,2023-03-08,"Up to ₹15,00,000 a year",https://in.indeed.com/company/LanceTech-Solutions-Pvt-Ltd/jobs/Data-Engineer-bc342718a034659e?fccid=e9c8111ee4de3cfa&vjs=3
Data Engineer,Data Engineer,Fluid.Live Solutions Pvt Ltd,"Pune, Maharashtra","Your home location should be Pune (Maharashtra, India) – City limits (Strictly).Work from office/home (Pune, MH)",Posted 28 days ago,2023-03-08,"₹10,00,000 - ₹20,00,000 a year",https://in.indeed.com/company/Fluid.Live-Solutions-Pvt-Ltd/jobs/Data-Engineer-50ef69aee8598a02?fccid=bc930420d3fe14dd&vjs=3
Data Engineer,Data Engineer,Ford Motor Company,India,"Analyze needs of customers (purpose of data processing), desired outcomes (use cases) and identify privacy requirements that will be required for approvals .Support compliance activities, as needed, such as GDPR, CCPA audits, OICs, access reviews, etc. .Partner with data stewards to ensure all information utilized adheres to compliance, access management and control police.",Posted 6 days ago,2023-03-08,?,https://in.indeed.com/rc/clk?jk=dca0f9828ebf6635&fccid=761c44c17d636bfe&vjs=3
Data Engineer (Data Management),Data Engineer,Sailo Technosoft,"Pune, Maharashtra",Experience: level 1+ years,Posted 9 days ago,2023-03-08,?,https://in.indeed.com/rc/clk?jk=d0684b6a2e991f38&fccid=df64f7a33c704798&vjs=3
Commercial Data Engineer,Data Engineer,Winning Edge,"Bengaluru, Karnataka","Bachelor’s degree in computer science, information technology, management information systems or equivalent work experience",Posted today,2023-03-08,"₹15,00,000 - ₹25,00,000 a year",https://in.indeed.com/company/Winning-Edge/jobs/Commercial-Data-Engineer-c69aed8205188f92?fccid=d5c4a1f49c103f47&vjs=3
